h_team_id,a_team_id,day,fix_time,fix_round,temp,rain,distance,dist_time,sunset,attend,hw_odds,d_odds,h_injuries,a_injuries,h_suspensions,a_suspensions,h_penalty_c,a_penalty_c,win_lg,draw_lg,loss_lg,derby,league_pos_h,league_pos_a,tv,tv_all,radius_25k,last_home_game,points_top,points_bottom,season
4,1,6,19.450001,1,5,0,246,174,18.1,3500,.57139999,2.5,2,1,0,0,0,0,0,1,0,0,12,12,0,1,0,11,0,0,2012
8,10,6,20,1,6,0,207,157,18.09,1718,2.0999999,2.2,0,2,1,0,0,0,0,0,1,0,12,12,0,1,2,14,0,0,2012
12,3,6,19.450001,1,6,0,252,150,18.09,698,3.3333001,2.25,5,4,0,0,0,0,0,0,1,0,12,12,0,1,2,3,0,0,2012
11,2,6,19.450001,1,6,0,28,25,18.09,1474,.40000001,3,1,3,2,0,0,0,0,0,1,0,12,12,0,1,2,11,0,0,2012
7,6,6,20,1,5,0,46,50,18.110001,1500,1.875,2.25,0,0,1,0,0,0,1,0,0,0,12,12,0,1,0,30,0,0,2012
5,9,6,19.049999,1,6,0,53,42,18.09,1553,9,3.3333001,2,2,4,1,0,0,1,0,0,0,12,12,1,0,0,6,0,0,2012
1,8,6,19.450001,2,8,0,1.65,5,18.190001,2690,1.4,2.2,4,1,1,1,0,0,0,0,1,1,3,8,0,0,2,18,3,0,2012
2,4,6,19.450001,2,8,0,274,200,18.190001,650,4.5,2.5999999,3,2,1,0,0,1,0,0,1,0,2,10,0,0,2,27,3,0,2012
3,5,6,19.450001,2,5,0,245,175,18.290001,3912,.66659999,2.4000001,4,2,0,1,0,0,0,0,1,0,1,4,0,0,0,17,3,0,2012
6,11,6,19.450001,2,8,0,85,59,18.17,1500,2.75,2.2,3,1,0,2,0,0,0,1,0,0,5,9,0,0,0,18,2,1,2012
9,7,6,20,2,8,0,134,92,18.190001,2950,.2,5,3,4,0,0,0,0,1,0,0,0,12,6,0,0,2,4,0,3,2012
10,12,7,19.450001,2,8,0,207,157,18.25,2097,.30000001,3.5,1,4,1,0,0,0,0,1,0,0,7,11,0,0,0,5,2,1,2012
3,9,6,19.049999,3,7,0,252,150,18.41,4324,4,2.5,3,3,1,0,0,0,0,0,1,0,3,11,1,0,0,7,6,0,2012
5,6,6,19.450001,3,6,0,32,30,18.299999,1287,1,2.2,0,1,0,0,0,0,1,0,0,1,7,4,0,1,0,14,3,3,2012
11,7,6,19.450001,3,7,0,134,92,18.299999,1205,.30000001,3.3333001,1,3,1,1,0,0,1,0,0,0,10,5,0,1,2,14,0,6,2012
12,2,6,19.450001,3,7,0,28,25,18.299999,376,.33333001,3.3333001,5,2,0,1,2,0,0,0,1,0,6,1,0,1,2,14,3,3,2012
8,4,6,20,3,7,0,246,174,18.299999,1251,2,2.3,1,1,0,0,0,0,1,0,0,0,9,12,0,1,2,14,2,4,2012
10,1,6,19.450001,3,6,0,207,157,18.4,2573,.44440001,3,0,4,2,1,0,0,1,0,0,0,8,2,0,1,0,7,2,4,2012
9,8,6,20,4,9,0,11,35,18.450001,5000,.61540002,2.5,3,0,1,0,1,0,0,1,0,1,12,11,0,0,1,14,0,6,2012
2,5,6,19.450001,4,9,0,88,56,18.450001,600,1.875,2.25,2,0,0,2,0,0,1,0,0,0,5,7,0,0,1,14,4,2,2012
4,3,6,19.450001,4,9,0,400,283,18.49,3000,.80000001,2.25,1,3,1,1,0,0,0,0,1,0,8,2,0,0,0,3,1,5,2012
6,12,6,19.450001,4,9,0,85,59,18.450001,925,1.5,2.2,0,1,0,0,0,1,0,1,0,0,3,6,0,0,0,14,5,1,2012
7,10,6,20,4,9,0,99,120,18.48,750,5.5,2.5,3,0,0,2,0,0,0,1,0,0,4,9,0,0,0,21,5,1,2012
1,11,1,16,4,18,0,6,20,19.48,1423,2.5999999,2.0999999,0,1,0,1,0,0,0,0,1,1,1,10,1,0,0,4,7,-1,2012
3,2,6,19.450001,5,7,0,217,156,20.049999,2888,.61500001,2.5,4,3,0,1,0,0,0,0,1,0,2,4,0,1,0,4,9,0,2012
5,4,6,19.450001,5,7,0,200,152,19.58,800,2.4000001,2.25,2,1,0,0,0,0,1,0,0,0,8,10,0,1,0,14,3,6,2012
12,7,6,19.450001,5,7,0,134,92,19.57,244,.90899998,2.25,5,3,0,0,0,0,0,0,1,0,5,3,0,1,2,14,7,2,2012
9,1,6,19.049999,5,8,0,12,25,19.57,4600,.28600001,3.75,3,0,2,0,0,0,1,0,0,1,12,1,1,0,2,7,0,9,2012
8,11,6,20,5,7,0,8,20,19.57,1822,1.625,2.2,1,1,1,1,0,0,0,0,1,1,7,9,0,1,2,4,3,6,2012
